call_id,manager,call_date,duration_sec,to_number,direction_type
Ив_1,Иванов,2024-08-15 15:14:08,502,+79844813102,внутренний
Ив_2,Иванов,2024-05-05 19:06:43,440,+79531343461,внутренний
Ив_3,Иванов,2024-07-27 19:57:34,493,+79141642429,внутренний
Ив_4,Иванов,2024-04-06 14:37:27,494,+79524979220,внутренний
Ив_5,Иванов,2024-03-14 14:01:05,418,+79455939049,исходящий
Ив_6,Иванов,2024-04-24 15:14:32,478,+79841433502,внутренний
Ив_7,Иванов,2024-07-09 18:01:35,461,+79355098831,внутренний
Ив_8,Иванов,2024-06-18 15:45:41,453,+79152925780,внутренний
Ив_9,Иванов,2024-11-02 19:34:26,516,+79900742774,исходящий
Ив_10,Иванов,2024-07-22 15:28:37,456,+79610261646,исходящий
Ив_11,Иванов,2024-02-25 16:51:55,451,+79388390253,внутренний
Ив_12,Иванов,2024-07-26 14:48:51,478,+79499905152,внутренний
Ив_13,Иванов,2024-02-10 15:44:27,496,+79121724902,внутренний
Ив_14,Иванов,2024-02-01 16:17:09,471,+79462780939,исходящий
Ив_15,Иванов,2024-01-15 15:48:21,511,+79977661452,внутренний
Ив_16,Иванов,2024-03-02 14:05:24,491,+79952177409,внутренний
Ив_17,Иванов,2024-06-03 14:22:54,410,+79425402780,внутренний
Ив_18,Иванов,2024-10-10 16:38:16,460,+79433879270,внутренний
Ив_19,Иванов,2024-07-27 14:46:29,459,+79401019924,входящий
Ив_20,Иванов,2024-11-15 18:07:59,490,+79627872109,внутренний
Ив_21,Иванов,2024-07-05 17:05:35,397,+79847520637,исходящий
Ив_22,Иванов,2024-05-09 16:53:40,552,+79835354265,внутренний
Ив_23,Иванов,2024-05-06 18:56:55,491,+79205460113,внутренний
Ив_24,Иванов,2024-10-18 16:36:12,480,+79344767409,внутренний
Ив_25,Иванов,2024-04-23 19:04:02,511,+79244295352,внутренний
Ив_26,Иванов,2024-07-17 19:14:49,546,+79422638422,исходящий
Ив_27,Иванов,2024-01-13 16:05:54,502,+79898567178,внутренний
Ив_28,Иванов,2024-09-27 15:55:06,504,+79575786397,внутренний
Ив_29,Иванов,2024-03-29 17:17:29,479,+79931109347,исходящий
Ив_30,Иванов,2024-08-02 19:53:23,471,+79986721049,входящий
Ив_31,Иванов,2024-10-04 15:23:22,461,+79444529729,внутренний
Ив_32,Иванов,2024-07-21 15:42:17,451,+79389287503,входящий
Ив_33,Иванов,2024-03-14 19:59:43,455,+79882542411,внутренний
Ив_34,Иванов,2024-01-25 19:04:38,435,+79547506309,внутренний
Ив_35,Иванов,2024-04-10 19:10:34,473,+79749591392,внутренний
Ив_36,Иванов,2024-06-24 19:15:10,425,+79793159203,исходящий
Ив_37,Иванов,2024-04-26 17:24:17,481,+79195871030,внутренний
Ив_38,Иванов,2024-06-14 19:44:35,474,+79301794412,внутренний
Ив_39,Иванов,2024-02-10 15:43:20,480,+79574289591,входящий
Ив_40,Иванов,2024-12-09 14:14:52,460,+79326978821,внутренний
Ив_41,Иванов,2024-12-31 14:51:20,568,+79984730446,внутренний
Ив_42,Иванов,2024-04-29 17:17:04,516,+79537195843,внутренний
Ив_43,Иванов,2024-04-06 15:58:36,438,+79895583423,исходящий
Ив_44,Иванов,2024-05-24 19:20:13,483,+79620185318,внутренний
Ив_45,Иванов,2024-08-03 19:31:25,457,+79915499713,входящий
Ив_46,Иванов,2024-08-16 19:29:09,445,+79654589168,исходящий
Ив_47,Иванов,2024-11-08 16:08:15,435,+79501483027,внутренний
Ив_48,Иванов,2024-05-09 19:35:34,489,+79981560713,внутренний
Ив_49,Иванов,2024-12-17 16:47:37,455,+79160350543,входящий
Ив_50,Иванов,2024-11-13 17:57:37,505,+79653266624,исходящий
Ив_51,Иванов,2024-05-16 17:23:14,505,+79949856342,исходящий
Ив_52,Иванов,2024-11-19 15:32:31,517,+79270695366,исходящий
Ив_53,Иванов,2024-12-02 14:48:03,450,+79170455681,исходящий
Ив_54,Иванов,2024-09-29 14:09:40,490,+79434065879,входящий
Ив_55,Иванов,2024-04-26 15:50:43,495,+79861894343,внутренний
Ив_56,Иванов,2024-11-01 17:38:04,461,+79644167285,внутренний
Ив_57,Иванов,2024-04-03 17:24:38,452,+79533131502,внутренний
Ив_58,Иванов,2024-06-16 17:33:16,524,+79245652883,внутренний
Ив_59,Иванов,2024-07-21 18:55:00,482,+79938073130,входящий
Ив_60,Иванов,2024-12-06 19:46:07,495,+79662948033,внутренний
Ив_61,Иванов,2024-05-28 19:56:34,451,+79710607239,внутренний
Ив_62,Иванов,2024-07-01 16:49:41,439,+79131082848,внутренний
Ив_63,Иванов,2024-05-31 16:07:18,458,+79286549068,внутренний
Ив_64,Иванов,2024-03-14 17:10:29,472,+79306978174,внутренний
Ив_65,Иванов,2024-12-30 14:46:56,444,+79994351711,внутренний
Ив_66,Иванов,2024-09-30 19:16:32,475,+79315528733,исходящий
Ив_67,Иванов,2024-02-11 15:32:58,425,+79998696871,внутренний
Ив_68,Иванов,2024-07-30 14:55:40,442,+79161877074,внутренний
Ив_69,Иванов,2024-04-10 16:53:40,496,+79367888133,внутренний
Ив_70,Иванов,2024-02-14 18:38:12,494,+79135509761,внутренний
Ив_71,Иванов,2024-03-22 15:23:48,464,+79590108029,входящий
Ив_72,Иванов,2024-01-17 15:34:49,445,+79154287614,внутренний
Ив_73,Иванов,2024-03-13 18:58:00,445,+79486949792,внутренний
Ив_74,Иванов,2024-01-14 18:20:31,464,+79856594938,внутренний
Ив_75,Иванов,2024-06-05 14:07:59,495,+79313792490,внутренний
Ив_76,Иванов,2024-08-10 16:56:53,503,+79394181098,исходящий
Ив_77,Иванов,2024-05-11 16:15:03,461,+79495514868,внутренний
Ив_78,Иванов,2024-12-03 15:56:36,441,+79984233149,внутренний
Ив_79,Иванов,2024-02-16 14:05:46,484,+79598450776,внутренний
Ив_80,Иванов,2024-04-16 17:52:04,451,+79642375317,внутренний
Ив_81,Иванов,2024-04-17 18:49:08,460,+79526213526,внутренний
Ив_82,Иванов,2024-09-21 15:42:30,515,+79782266083,внутренний
Ив_83,Иванов,2024-07-23 18:10:16,500,+79233007467,исходящий
Ив_84,Иванов,2024-03-19 18:55:38,480,+79831405402,внутренний
Ив_85,Иванов,2024-06-03 17:13:59,437,+79132816979,внутренний
Ив_86,Иванов,2024-09-27 18:48:46,482,+79359779054,внутренний
Ив_87,Иванов,2024-09-03 19:12:45,507,+79499933139,внутренний
Ив_88,Иванов,2024-01-19 16:25:42,464,+79624830763,внутренний
Ив_89,Иванов,2024-12-11 19:23:28,516,+79737849448,входящий
Ив_90,Иванов,2024-01-26 18:28:07,514,+79578999915,внутренний
Ив_91,Иванов,2024-08-04 15:14:04,525,+79290679038,исходящий
Ив_92,Иванов,2024-06-02 16:01:37,485,+79609578849,внутренний
Ив_93,Иванов,2024-06-02 18:14:37,493,+79730157871,входящий
Ив_94,Иванов,2024-06-22 15:00:04,518,+79691990078,внутренний
Ив_95,Иванов,2024-04-01 19:40:03,489,+79475551835,внутренний
Ив_96,Иванов,2024-12-03 15:04:57,460,+79469634556,входящий
Ив_97,Иванов,2024-06-29 14:55:21,462,+79275571407,внутренний
Ив_98,Иванов,2024-05-10 14:32:15,483,+79999423880,внутренний
Ив_99,Иванов,2024-10-24 16:42:31,437,+79377733976,исходящий
Ив_100,Иванов,2024-10-01 15:34:08,471,+79904190892,внутренний
Ив_101,Иванов,2024-09-29 19:59:56,508,+79992140083,внутренний
Ив_102,Иванов,2024-03-16 18:36:30,410,+79839647637,внутренний
Ив_103,Иванов,2024-06-25 15:50:30,522,+79197057590,исходящий
Ив_104,Иванов,2024-07-02 17:12:06,509,+79406090918,исходящий
Ив_105,Иванов,2024-11-14 14:42:27,462,+79129474736,исходящий
Ив_106,Иванов,2024-05-10 16:27:26,492,+79515071728,входящий
Ив_107,Иванов,2024-12-28 17:55:46,476,+79153312407,исходящий
Ив_108,Иванов,2024-02-18 14:43:41,512,+79274920492,внутренний
Ив_109,Иванов,2024-02-24 19:06:03,505,+79714457408,внутренний
Ив_110,Иванов,2024-06-02 17:46:21,434,+79937336224,внутренний
Ив_111,Иванов,2024-12-20 14:15:12,493,+79330122826,внутренний
Ив_112,Иванов,2024-07-18 15:34:28,469,+79337673911,исходящий
Ив_113,Иванов,2024-11-03 15:27:11,478,+79795118868,исходящий
Ив_114,Иванов,2024-12-21 16:29:15,454,+79341712209,внутренний
Ив_115,Иванов,2024-04-27 14:28:51,528,+79827669728,исходящий
Ив_116,Иванов,2024-09-19 18:06:03,507,+79321975705,внутренний
Ив_117,Иванов,2024-02-15 19:34:53,453,+79388926290,внутренний
Ив_118,Иванов,2024-10-28 14:05:59,435,+79799636574,внутренний
Ив_119,Иванов,2024-12-21 15:10:26,464,+79539705006,внутренний
Ив_120,Иванов,2024-07-07 17:30:13,489,+79651131533,внутренний
Ив_121,Иванов,2024-11-05 17:57:03,483,+79121531054,внутренний
Ив_122,Иванов,2024-11-13 15:24:00,513,+79937844678,внутренний
Ив_123,Иванов,2024-05-08 17:16:59,499,+79924174943,внутренний
Ив_124,Иванов,2024-02-18 17:18:27,505,+79832506384,внутренний
Ив_125,Иванов,2024-01-25 19:46:50,485,+79109554136,внутренний
Ив_126,Иванов,2024-09-22 18:42:45,434,+79609057994,внутренний
Ив_127,Иванов,2024-04-27 17:09:12,470,+79242071170,внутренний
Ив_128,Иванов,2024-05-23 16:13:03,507,+79795109916,внутренний
Ив_129,Иванов,2024-07-18 18:47:34,474,+79285972787,внутренний
Ив_130,Иванов,2024-06-05 14:47:20,491,+79745471251,исходящий
Ив_131,Иванов,2024-12-13 14:03:37,466,+79959922040,внутренний
Ив_132,Иванов,2024-05-13 17:32:58,445,+79109087862,внутренний
Ив_133,Иванов,2024-05-27 18:10:03,472,+79340271240,внутренний
Ив_134,Иванов,2024-12-01 18:05:54,485,+79371002172,исходящий
Ив_135,Иванов,2024-03-11 15:04:38,456,+79753204271,внутренний
Ив_136,Иванов,2024-08-20 14:43:55,468,+79964454042,внутренний
Ив_137,Иванов,2024-11-29 15:25:07,447,+79427984850,внутренний
Ив_138,Иванов,2024-10-25 18:15:37,509,+79865299271,внутренний
Ив_139,Иванов,2024-06-02 18:02:39,467,+79861678303,внутренний
Ив_140,Иванов,2024-03-30 14:26:42,519,+79790137154,внутренний
Ив_141,Иванов,2024-11-29 18:36:33,521,+79395685474,внутренний
Ив_142,Иванов,2024-07-17 16:59:16,473,+79555059083,исходящий
Ив_143,Иванов,2024-06-09 15:42:45,445,+79504237434,внутренний
Ив_144,Иванов,2024-01-26 16:15:16,413,+79474423649,исходящий
Ив_145,Иванов,2024-04-30 17:08:42,431,+79592845370,внутренний
Ив_146,Иванов,2024-10-27 19:19:29,434,+79370581558,исходящий
Ив_147,Иванов,2024-07-30 16:59:48,517,+79334300190,исходящий
Ив_148,Иванов,2024-03-03 14:00:29,479,+79601113183,исходящий
Ив_149,Иванов,2024-03-08 18:36:06,487,+79424425818,входящий
Ив_150,Иванов,2024-09-09 14:34:13,409,+79827133833,внутренний
Ив_151,Иванов,2024-01-02 18:16:08,440,+79659030686,внутренний
Ив_152,Иванов,2024-04-17 16:56:04,502,+79985097007,внутренний
Ив_153,Иванов,2024-10-12 15:23:18,484,+79769591945,исходящий
Ив_154,Иванов,2024-02-18 15:28:53,471,+79526439295,входящий
Ив_155,Иванов,2024-05-19 18:45:19,492,+79727588309,входящий
Ив_156,Иванов,2024-08-05 18:51:41,525,+79209856785,исходящий
Ив_157,Иванов,2024-02-13 18:00:42,469,+79107889398,внутренний
Ив_158,Иванов,2024-09-25 18:19:59,478,+79649233665,исходящий
Ив_159,Иванов,2024-03-18 19:06:56,481,+79811198748,внутренний
Ив_160,Иванов,2024-08-03 15:16:07,547,+79501826151,исходящий
Ив_161,Иванов,2024-04-07 14:47:35,413,+79702859986,исходящий
Ив_162,Иванов,2024-08-23 15:17:18,496,+79795078308,внутренний
Ив_163,Иванов,2024-10-08 18:13:45,472,+79737558411,внутренний
Ив_164,Иванов,2024-05-28 16:13:43,493,+79753962570,исходящий
Ив_165,Иванов,2024-10-30 19:54:16,456,+79403521991,входящий
Ив_166,Иванов,2024-03-06 18:31:16,474,+79420486085,внутренний
Ив_167,Иванов,2024-08-21 14:05:40,497,+79834883010,исходящий
Ив_168,Иванов,2024-03-27 17:53:17,569,+79216076355,исходящий
Ив_169,Иванов,2024-03-19 14:00:21,500,+79617262695,внутренний
Ив_170,Иванов,2024-07-23 15:40:16,450,+79168544512,внутренний
Ив_171,Иванов,2024-10-05 15:47:28,463,+79461081823,внутренний
Ив_172,Иванов,2024-12-02 18:45:27,462,+79396871629,внутренний
Ив_173,Иванов,2024-09-10 18:00:07,422,+79787833374,внутренний
Ив_174,Иванов,2024-10-30 14:56:44,466,+79449113269,внутренний
Ив_175,Иванов,2024-05-09 15:34:02,498,+79397302928,внутренний
Ив_176,Иванов,2024-03-24 16:37:35,437,+79380404354,внутренний
Ив_177,Иванов,2024-10-02 15:27:08,507,+79804503060,исходящий
Ив_178,Иванов,2024-07-05 14:19:23,490,+79863531123,внутренний
Ив_179,Иванов,2024-02-15 14:57:22,454,+79799506796,внутренний
Ив_180,Иванов,2024-07-01 15:43:15,471,+79420824516,внутренний
Ив_181,Иванов,2024-09-24 19:06:22,523,+79302250101,внутренний
Ив_182,Иванов,2024-10-22 18:56:55,498,+79260985353,внутренний
Ив_183,Иванов,2024-11-17 17:39:47,476,+79655439758,исходящий
Ив_184,Иванов,2024-04-09 15:59:59,468,+79921921869,внутренний
Ив_185,Иванов,2024-03-18 15:55:10,478,+79358022386,исходящий
Ив_186,Иванов,2024-09-28 15:56:26,460,+79160961339,внутренний
Ив_187,Иванов,2024-12-04 14:11:47,412,+79964823687,исходящий
Ив_188,Иванов,2024-06-10 16:50:59,537,+79961531511,внутренний
Ив_189,Иванов,2024-02-13 17:51:42,480,+79969761986,исходящий
Ив_190,Иванов,2024-08-25 19:51:15,487,+79744280854,внутренний
Ив_191,Иванов,2024-05-13 16:10:50,474,+79533897383,внутренний
Ив_192,Иванов,2024-07-10 19:06:24,453,+79809239039,исходящий
Ив_193,Иванов,2024-12-21 14:54:30,470,+79443152572,внутренний
Ив_194,Иванов,2024-10-04 15:12:52,428,+79830955923,внутренний
Ив_195,Иванов,2024-01-18 17:22:19,544,+79250248163,входящий
Ив_196,Иванов,2024-01-12 15:14:01,439,+79874471936,внутренний
Ив_197,Иванов,2024-06-28 19:12:25,445,+79127332385,входящий
Ив_198,Иванов,2024-05-02 16:17:55,462,+79803731001,внутренний
Ив_199,Иванов,2024-09-02 14:49:17,514,+79634050001,внутренний
Ив_200,Иванов,2024-08-09 16:41:32,476,+79417403063,внутренний
Ив_201,Иванов,2024-02-20 17:43:53,438,+79378556835,внутренний
Ив_202,Иванов,2024-03-11 18:21:01,513,+79549431487,исходящий
Ив_203,Иванов,2024-02-17 14:56:16,497,+79534434754,входящий
Ив_204,Иванов,2024-01-19 15:37:16,492,+79516907018,внутренний
Ив_205,Иванов,2024-09-18 14:06:38,497,+79891060070,внутренний
Ив_206,Иванов,2024-03-24 17:22:46,547,+79137923492,внутренний
Ив_207,Иванов,2024-06-03 16:27:38,541,+79726016935,внутренний
Ив_208,Иванов,2024-02-22 18:07:24,455,+79860283250,внутренний
Ив_209,Иванов,2024-04-16 18:12:16,524,+79714225883,внутренний
Ив_210,Иванов,2024-12-22 14:45:27,487,+79976189113,внутренний
Ив_211,Иванов,2024-10-30 14:33:59,491,+79303919854,внутренний
Ив_212,Иванов,2024-05-14 18:43:46,425,+79468472812,внутренний
Ив_213,Иванов,2024-03-09 19:47:42,470,+79880126986,исходящий
Ив_214,Иванов,2024-01-11 15:23:27,451,+79865974442,внутренний
Ив_215,Иванов,2024-05-22 14:42:58,500,+79338760659,внутренний
Ив_216,Иванов,2024-07-10 16:39:20,508,+79836928463,внутренний
Ив_217,Иванов,2024-03-09 19:54:07,413,+79674060064,входящий
Ив_218,Иванов,2024-01-23 19:57:19,475,+79785383997,внутренний
Ив_219,Иванов,2024-06-29 18:19:42,509,+79942776797,внутренний
Ив_220,Иванов,2024-10-19 17:20:25,470,+79610816782,внутренний
Ив_221,Иванов,2024-01-09 19:18:35,497,+79821413281,исходящий
Ив_222,Иванов,2024-09-27 15:12:26,486,+79484933362,входящий
Ив_223,Иванов,2024-04-02 19:24:43,486,+79644725181,внутренний
Ив_224,Иванов,2024-01-17 19:57:11,467,+79422331737,внутренний
Ив_225,Иванов,2024-06-02 18:36:19,439,+79282521788,внутренний
Ив_226,Иванов,2024-11-23 17:35:53,442,+79806108387,внутренний
Ив_227,Иванов,2024-05-28 14:19:18,497,+79699414278,входящий
Ив_228,Иванов,2024-09-23 15:27:50,476,+79294493146,внутренний
Ив_229,Иванов,2024-11-23 18:38:41,471,+79415448230,входящий
Ив_230,Иванов,2024-04-15 16:29:28,463,+79204800493,внутренний
Ив_231,Иванов,2024-02-04 17:43:13,466,+79605497119,внутренний
Ив_232,Иванов,2024-04-28 18:30:50,507,+79237378973,внутренний
Ив_233,Иванов,2024-01-14 19:10:42,465,+79895555607,внутренний
Ив_234,Иванов,2024-01-14 14:18:32,435,+79377725308,внутренний
Ив_235,Иванов,2024-09-22 19:40:39,498,+79878663220,внутренний
Ив_236,Иванов,2024-05-19 16:05:52,469,+79967952618,исходящий
Ив_237,Иванов,2024-10-20 15:43:19,476,+79700255667,внутренний
Ив_238,Иванов,2024-12-29 15:51:12,524,+79919177195,внутренний
Ив_239,Иванов,2024-04-28 15:01:02,475,+79296568144,входящий
Ив_240,Иванов,2024-08-25 15:30:39,484,+79829835592,внутренний
Ив_241,Иванов,2024-02-03 14:29:26,440,+79460382610,внутренний
Ив_242,Иванов,2024-06-17 19:36:12,469,+79802693852,внутренний
Ив_243,Иванов,2024-01-10 19:44:24,494,+79195884955,внутренний
Ив_244,Иванов,2024-05-01 17:25:15,429,+79338642889,внутренний
Ив_245,Иванов,2024-05-24 15:41:44,482,+79481482646,входящий
Ив_246,Иванов,2024-08-10 14:57:48,479,+79339796534,исходящий
Ив_247,Иванов,2024-09-13 14:49:27,477,+79899089320,внутренний
Ив_248,Иванов,2024-09-24 15:11:51,507,+79429730298,внутренний
Ив_249,Иванов,2024-12-24 19:33:29,486,+79551478978,входящий
Ив_250,Иванов,2024-01-04 14:35:15,520,+79946205663,внутренний
Ив_251,Иванов,2024-12-19 14:29:08,446,+79455749066,внутренний
Ив_252,Иванов,2024-04-15 17:42:33,480,+79499090969,внутренний
Ив_253,Иванов,2024-03-25 18:38:20,478,+79379773344,входящий
Ив_254,Иванов,2024-08-01 17:39:52,443,+79728751749,внутренний
Ив_255,Иванов,2024-04-30 19:57:32,504,+79415734988,внутренний
Ив_256,Иванов,2024-05-11 17:53:58,545,+79597959181,внутренний
Ив_257,Иванов,2024-12-03 18:28:57,475,+79226466892,внутренний
Ив_258,Иванов,2024-07-15 15:47:55,491,+79605234798,внутренний
Ив_259,Иванов,2024-01-19 17:28:16,478,+79157635190,внутренний
Ив_260,Иванов,2024-05-09 15:53:40,454,+79781178315,исходящий
Ив_261,Иванов,2024-01-12 16:49:49,421,+79726608478,внутренний
Ив_262,Иванов,2024-03-21 18:31:40,454,+79723106450,внутренний
Ив_263,Иванов,2024-11-25 15:17:28,434,+79766422911,внутренний
Ив_264,Иванов,2024-12-19 14:45:18,527,+79176467315,исходящий
Ив_265,Иванов,2024-09-18 15:17:21,472,+79607042021,исходящий
Ив_266,Иванов,2024-05-04 16:57:34,465,+79308889819,внутренний
Ив_267,Иванов,2024-11-02 14:08:09,502,+79637383490,внутренний
Ив_268,Иванов,2024-09-23 15:24:44,442,+79228651382,внутренний
Ив_269,Иванов,2024-05-19 15:45:13,453,+79830893658,внутренний
Ив_270,Иванов,2024-11-24 14:26:26,478,+79509814203,внутренний
